Geneid	FA-10_aligned.sam	FA-12_aligned.sam	FA-14_aligned.sam	FA-15_aligned.sam	FA-2_aligned.sam	FA-3_aligned.sam	FA-7_aligned.sam	FA-8_aligned.sam	FABP2-10_aligned.sam	FABP2-12_aligned.sam	FABP2-14_aligned.sam	FABP2-15_aligned.sam	FABP2-19_aligned.sam	FABP2-1_aligned.sam	FABP2-2_aligned.sam	FABP2-5_aligned.sam	FABP2-6_aligned.sam
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	57	89	95	58	44	84	14	23	30	68	54	82	27	34	77	215	35
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	1	0	2	2	4	6	2	0	4	0	4	4	3	10	3	4	8
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	6	0	0	5	2	2	0	0	6	0	0	4	0	0	0	0	2
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	8	2	7	2	5	6	0	3	9	6	9	3	6	5	7	8	11
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	1936	856	1698	1620	2727	1895	129	2331	2125	1833	2281	2033	838	1638	2154	2545	3001
ENSMUSG00000098201	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	0	0	6	1	0	0	0	5	0	2	12	2	0	2	0	0	6
ENSMUSG00000048538	97	6	108	21	152	26	10	69	133	72	107	27	5	114	119	71	57
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	24	43	26	5	19	43	2	156	22	41	21	36	0	12	19	123	120
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	10	4	0	0	2	2	0	0	2	14	2	6	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	40	52	122	29	43	12	2	10	31	26	20	20	12	6	49	19	28
ENSMUSG00000118715	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	1101	413	673	311	1337	677	24	888	1321	1029	1721	748	136	1090	897	990	1002
